Stock Name,Stock Category,Year Founded,Money Invested,Return
Partner Communications Company Ltd.,Clothing,2008,85.6,46
Ophthotech Corporation,Movies,2006,45.6,8.1
First Financial Bancorp.,Shoes,2005,93.7,34.5
"Penns Woods Bancorp, Inc.",Games,2007,79,69
Koninklijke Philips N.V.,Beauty,2006,17,2.4
Invesco Pennsylvania Value Municipal Income Trust,Music,2007,93,11.5
"Harvard Bioscience, Inc.",Outdoors,2004,20.4,85.5
Andina Acquisition Corp. II,Movies,1993,54.2,22.2
"Richmont Mines, Inc.",Outdoors,2005,57.8,79.2
"Sypris Solutions, Inc.",Beauty,1998,53.7,45.9
"Sino-Global Shipping America, Ltd.",Games,2006,42.2,44.1
"Great Elm Capital Group, Inc. ",Jewelry,1990,56.2,54.4
